id	name	ascii	tes	lat	long	tes2	tes3	tes4	tes5	tes6	tes7	tes8	tes9	tes10	tes11	tes12	tes13	tes14
3237466	The Demies	The Demies	Les Demies,Les Rocquettes,The Demies	49.25167	-2.19917	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237467	La Ville Bagot	La Ville Bagot	La Ville Bagot,Ville Bagot	49.24265	-2.20722	P	PPL	JE	GB	0				0		86	Europe/Jersey	2016-02-18
3237468	Le Rondin	Le Rondin		49.23889	-2.18111	P	PPL	JE		0				0		80	Europe/Jersey	2007-06-15
3237469	Isle Agois	Isle Agois	Isle Agois,L'ile Agois,L’île Agois	49.24889	-2.1825	T	RK	JE		0				0		8	Europe/Jersey	2012-01-19
3237470	Crabbé	Crabbe		49.24889	-2.18389	H	COVE	JE		0				0		89	Europe/Jersey	2007-06-15
3237472	Le Col de la Rocque	Le Col de la Rocque	Le Col de la Rocque	49.25056	-2.18	T	PT	JE		0				0		-1	Europe/Jersey	2018-12-05
3237473	Les Reuses	Les Reuses		49.25028	-2.17611	H	COVE	JE		0				0		3	Europe/Jersey	2007-06-15
3237474	La Falaise	La Falaise		49.24944	-2.16889	P	PPL	JE		0				0		90	Europe/Jersey	2007-06-15
3237475	La Plaine Point	La Plaine Point	La Plaine,La Plaine Point	49.25833	-2.16556	T	PT	JE		0				0		96	Europe/Jersey	2012-01-19
3237476	Le Fossé Vicq	Le Fosse Vicq		49.25917	-2.16306	H	COVE	JE		0				0		1	Europe/Jersey	2007-06-15
3237477	La Houle	La Houle		49.26167	-2.15528	H	COVE	JE		0				0		1	Europe/Jersey	2007-06-15
3237478	Grune de Vicq	Grune de Vicq		49.26278	-2.15611	H	RF	JE		0				0		1	Europe/Jersey	2007-06-15
3237482	Grand Mourier	Grand Mourier		49.25528	-2.14833	P	PPL	JE		0				0		96	Europe/Jersey	2007-06-15
3237489	Mourier Bay	Mourier Bay	Mourier Bay	49.25694	-2.14472	H	COVE	JE		0				0		0	Europe/Jersey	2012-01-19
3237492	La Lipende Point	La Lipende Point	La Lipende Point,Le Lipende,Le Lipendé	49.25556	-2.14194	T	PT	JE		0				0		9	Europe/Jersey	2012-01-19
3237495	Perruque	Perruque	La Perruqe,Perruque	49.25167	-2.14417	P	PPL	JE		0				0		106	Europe/Jersey	2012-01-19
3237497	Saint John	Saint John	Saint John,St Jean,St John,St. John,St. John's,St. John’s	49.24694	-2.1375	A	ADM1	JE	GB	3237497				3051		105	Europe/Jersey	2022-10-12
3237499	Cormorant Rock	Cormorant Rock	Cormorant Rock	49.25528	-2.13056	T	RK	JE		0				0		1	Europe/Jersey	2012-01-19
3237503	Côtil Point	Cotil Point	Cotil Point,Côtil Point	49.25333	-2.13472	T	PT	JE		0				0		6	Europe/Jersey	2012-01-19
3237504	Demie Rock	Demie Rock	Demie Rock,La Demie	49.25833	-2.12306	T	RK	JE		0				0		1	Europe/Jersey	2012-01-19
3237506	Shamrock Bank	Shamrock Bank	Shamrock Bank	49.26306	-2.12917	H	SHOL	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237515	Mont Mado	Mont Mado	Le Mont Mado,Mont Mado,Mount Mado	49.24694	-2.12417	P	PPL	JE		0				0		124	Europe/Jersey	2012-01-19
3237518	Cheval Rock	Cheval Rock	Cheval Rock,Chevel Rock,Le Cheval Guillaume	49.25306	-2.11556	T	RK	JE		0				0		1	Europe/Jersey	2012-01-19
3237520	Long Echet	Long Echet	Le Long Etchet,Le Long Êtchet,Long Echet	49.25389	-2.10444	H	RF	JE		0				0		1	Europe/Jersey	2012-01-19
3237524	Vicard Harbour	Vicard Harbour	Vicard Harbour	49.24833	-2.08694	H	COVE	JE		0				0		-2	Europe/Jersey	2012-01-19
3237526	La Grune	La Grune	La Chretienne,La Chrétienne,La Grune	49.24306	-2.08083	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237529	L’Islet	L'Islet		49.23833	-2.07861	T	RK	JE		0				0		2	Europe/Jersey	2007-06-15
3237530	Trinity	Trinity	La Trinite,La Trinité,La Trinnete,La Trinneté,Trinity	49.23472	-2.09	A	ADM1	JE	GB	3237530				3156		114	Europe/Jersey	2014-03-14
3237531	L’Étaquerel	L'Etaquerel	L'Etacquerel,L'Etaquerel,L’Étacquerel,L’Étaquerel	49.23833	-2.06694	T	PT	JE		0				0		12	Europe/Jersey	2012-01-19
3237532	Oyster Rocks	Oyster Rocks	Oyster Rocks	49.24111	-2.06389	T	RKS	JE		0				0		53	Europe/Jersey	2012-01-19
3237533	Les Troupeurs	Les Troupeurs	Les Troupeurs,Troupeurs	49.24587	-2.06581	H	RF	JE		0				0		-9999	Europe/Jersey	2017-08-16
3237536	Demie de la Tour	Demie de la Tour	Demie de la Tour,La Demie de la Tour	49.24472	-2.05111	T	RK	JE		0				0		1	Europe/Jersey	2012-01-19
3237539	Nez du Guet	Nez du Guet	Le Nez du Guet,Nez du Guet	49.24	-2.04361	T	PT	JE		0				0		0	Europe/Jersey	2012-01-19
3237543	Hiaux	Hiaux	Hiaux,Pin Rock	49.24056	-2.04194	T	RK	JE		0				0		1	Europe/Jersey	2012-01-19
3237548	Brayes Rocks	Brayes Rocks	Brayes Rocks,Les Brayes	49.23361	-2.02056	T	RKS	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237550	Coupe Rock	Coupe Rock	Coupe Rock	49.23139	-2.015	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237551	Le Graveur	Le Graveur	Le Graveur	49.22111	-2.01889	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237552	Pillon Rock	Pillon Rock	Pillon Rock	49.22278	-2.00583	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237553	Eureka	Eureka	Eureka	49.22083	-2.00417	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237554	Belval Cove	Belval Cove	Belval,Belval Cove	49.22111	-2.02611	H	COVE	JE		0				0		1	Europe/Jersey	2012-01-19
3237557	Le Ruau	Le Ruau		49.26667	-2.03333	H	CHNM	JE		0				0		-9999	Europe/Jersey	1997-04-02
3237567	La Hau	La Hau	La Hau	49.285	-2.05	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237569	Joli	Joli	Joli	49.29083	-2.04861	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237589	Le Forêt	Le Foret	Le Foret,Le Forêt	49.29611	-2.04667	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237590	Le Bût	Le But	Le But,Le Bût	49.29611	-2.0525	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237592	Frouquie	Frouquie	Frouquie	49.29556	-2.04028	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237593	Les Burons	Les Burons	Les Burons	49.29861	-2.03528	T	RKS	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237595	La Platte	La Platte	La Platte	49.29444	-2.01639	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237596	Frouquie	Frouquie	Frouquie	49.29778	-2.01306	H	RF	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3237600	Grune de South West	Grune de South West	Grune de South West	49.2875	-2.00917	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237606	La Grese	La Grese	La Grese	49.3025	-2.02028	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237608	Noire Roque	Noire Roque	Noire Roque	49.30306	-2.03278	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237611	La Joie	La Joie	La Joie	49.30972	-2.03306	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237614	Clump Rock	Clump Rock	Clump Rock	49.31139	-2.02861	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237615	Les Grunes	Les Grunes	Les Grunes	49.31083	-2.04111	T	RKS	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237620	Passe de l’Étoc	Passe de l'Etoc	Passe de l'Etoc,Passe de l’Étoc	49.29889	-2.005	H	CHNM	JE		0				0		-9999	Europe/Jersey	2014-10-02
3237625	Grune de North West	Grune de North West	Grune de North West	49.31278	-1.99778	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237632	Le Fierco	Le Fierco	Le Fierco	49.30583	-1.98972	T	RKS	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237634	L’Étoc	L'Etoc	L'Etoc,L’Étoc	49.30167	-1.99417	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237635	Le Ruquet	Le Ruquet	Le Ruquet	49.30583	-1.97472	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237636	Grande Rousse	Grande Rousse	Grande Rousse	49.29222	-1.98306	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237640	Petite Rousse	Petite Rousse	Petite Rousse	49.29028	-1.96833	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237642	Marmotier	Marmotier	Marmotier	49.29167	-1.92778	T	ISL	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3237645	Île Mâitre	Ile Maitre		49.28333	-1.92778	T	ISL	JE		0				0		1	Europe/Jersey	2007-06-15
3237646	Écrevière Bank	Ecreviere Bank	Ecreviere Bank,Écrevière Bank	49.275	-1.89917	H	SHOL	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3237716	Saint Martin	Saint Martin	Saint Martin,Saint Martin de Grouville,Saint Martîn,Saint-Martin,St Martin,St Martîn,St. Martin	49.21944	-2.04972	A	ADM1	JE	GB	3237716				3763		79	Europe/Jersey	2021-02-20
3237717	Banc du Château	Banc du Chateau	Banc du Chateau,Banc du Château	49.19167	-1.98333	H	SHOL	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237720	Le Giffard	Le Giffard	Le Giffard	49.17556	-1.98194	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237724	Grune Le Feuvre	Grune Le Feuvre	Grune Le Feuvre	49.15917	-1.92778	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237726	La Grande Arconie	La Grande Arconie	La Grande Arconie	49.12639	-1.89778	H	RF	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3237727	Grunes du Gris-Banc	Grunes du Gris-Banc	Grunes du Gris-Banc	49.10833	-1.93333	T	RKS	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3237729	Grune La Hauche	Grune La Hauche	Grune La Hauche	49.11278	-1.89722	T	RK	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3237823	Black Rock	Black Rock	Black Rock	49.25556	-2.2525	T	RK	JE		0				0		73	Europe/Jersey	2012-01-19
3237864	Saint Helier	Saint Helier	Saint Helier,Saint-Helier,Saint-Hélier,St Helier,St. Helier	49.18333	-2.1	A	ADM1	JE	GB	3237864				35822		15	Europe/Jersey	2022-10-12
